key,doi,stream,role,title,year,authors,container,volume,issue,first_page,last_page,type,openalex_id,cited_by_count,landing_page
bakcoleman2025actionable,10.48550/arxiv.2505.09254,review,closest-conceptual-causal-predecessor,Moving towards informative and actionable social media research,2025,Joseph B. Bak-Coleman; Stephan Lewandowsky; Philipp Lorenz-Spreen; Arvind Narayanan; Amy Orben; Lisa Oswald,arXiv preprint arXiv:2505.09254v3,,,,,preprint,W4414939000,3,https://doi.org/10.48550/arXiv.2505.09254
bakcoleman2025rct,10.1038/s44159-025-00475-5,causal-design,rct-identification-critique,Randomized controlled trials cannot identify social media’s causal effects,2025,Joseph B. Bak-Coleman,Nature Reviews Psychology,4,,615,615,article,W4412689064,1,https://doi.org/10.1038/s44159-025-00475-5
sznajdweron2024toward,10.1177/17456916231195361,social-hysteresis,definitional-review,Toward Understanding of the Social Hysteresis: Insights From Agent-Based Modeling,2024,Katarzyna Sznajd-Weron; Arkadiusz Jędrzejewski; Barbara Kamińska,Perspectives on Psychological Science,19,2,511,521,article,W4387439435,16,https://doi.org/10.1177/17456916231195361
oestereich2020hysteresis,10.1016/j.chaos.2020.109893,social-hysteresis,direct-precedent,Hysteresis and disorder-induced order in continuous kinetic-like opinion dynamics in complex networks,2020,André L. Oestereich; Marcelo A. Pires; Sı́lvio M. Duarte Queirós; Nuno Crokidakis,Chaos Solitons & Fractals,137,,109893,109893,article,W3007802722,17,https://doi.org/10.1016/j.chaos.2020.109893
nowak2020threshold,10.1103/physreve.101.052316,social-hysteresis,direct-precedent,Symmetrical threshold model with independence on random graphs,2020,B. Nowak; Katarzyna Sznajd-Weron,Physical review. E,101,5,052316,052316,article,W3008229780,11,https://doi.org/10.1103/physreve.101.052316
macy2021polarization,10.1073/pnas.2102144118,social-hysteresis,direct-precedent,Polarization and tipping points,2021,Michael W. Macy; Manqing Ma; Daniel R. Tabin; Jianxi Gao; Bolesław K. Szymański,Proceedings of the National Academy of Sciences,118,50,e2102144118,e2102144118,article,W4200358390,98,https://doi.org/10.1073/pnas.2102144118
su2017contagion,10.1038/s41598-017-06286-w,social-hysteresis,network-hysteresis,Emergence of hysteresis loop in social contagions on complex networks,2017,Zhen Su; Wei Wang; Lixiang Li; Jinghua Xiao; H. Eugene Stanley,Scientific Reports,7,1,6103,6103,article,W2735117501,13,https://doi.org/10.1038/s41598-017-06286-w
chen2019vaccine,10.1098/rspb.2018.2406,social-hysteresis,application,Imperfect vaccine and hysteresis,2019,Xingru Chen; Feng Fu,Proceedings of the Royal Society B Biological Sciences,286,1894,20182406,20182406,article,W2910856507,113,https://doi.org/10.1098/rspb.2018.2406
graham2020sociology,10.1177/0001699320961814,social-hysteresis,sociological-framing,Hysteresis and the sociological perspective in a time of crisis,2020,Hannah Graham,Acta Sociologica,63,4,450,452,article,W3092607080,57,https://doi.org/10.1177/0001699320961814
maia2021adaptive,10.1016/j.physa.2020.125588,social-hysteresis,direct-precedent,Adaptive network approach for emergence of societal bubbles,2021,Hugo P. Maia; Silvio C. Ferreira; Marcelo L. Martins,Physica A Statistical Mechanics and its Applications,572,,125588,125588,article,W3092769189,1,https://doi.org/10.1016/j.physa.2020.125588
asikainen2020cumulative,10.1126/sciadv.aax7310,adaptive-networks,topological-hysteresis,Cumulative effects of triadic closure and homophily in social networks,2020,Aili Asikainen; Gerardo Iñiguez; Javier Ureña-Carrión; Kimmo Kaski; Mikko Kivelä,Science Advances,6,19,eaax7310,eaax7310,article,W2890102673,117,https://doi.org/10.1126/sciadv.aax7310
zeng2015mutual,10.1088/1742-5468/2015/07/p07020,recommender-feedback,closest-direct-precedent,Modeling mutual feedback between users and recommender systems,2015,An Zeng; Chi Ho Yeung; Matúš Medo; Yi-Cheng Zhang,Journal of Statistical Mechanics Theory and Experiment,2015,7,P07020,P07020,article,W1945860290,14,https://doi.org/10.1088/1742-5468/2015/07/p07020
chan2026brake,10.1002/sres.70126,recommender-feedback,closest-conceptual-precedent,Where the Brake Slips: A Feedback View of the Micro‐Drama Platform,2026,Johnny Chan,Systems Research and Behavioral Science,,,1,7,article,W7172283483,0,https://doi.org/10.1002/sres.70126
